file_name	pmid
GCA_000007465	12397186
GCA_000011825	15543133
GCA_000011845	15543133
GCA_000014305	17375201
GCA_000014325	17375201
GCA_000014485	17030793
GCA_000018185	19016627
GCA_000020765	18716664
GCA_000026605	19325880
GCA_000026725	19603075
GCA_000026745	19603075
GCA_000091645	19656368
GCA_000091905	19603075
GCA_000182875	21131489
GCA_000186405	21398551
GCA_000213825	21531805
GCA_000219765	21914890
GCA_000231865	22026465
GCA_000233575	22026465
GCA_000246835	22461547
GCA_000253335	21742894
GCA_000253395	no pmid
GCA_000262145	22529932
GCA_000262675	22843572
GCA_000271865	22887682
GCA_000284575	22535936
GCA_000294495	23105076
GCA_000306805	no pmid
GCA_000344765	24316490
GCA_000463355	24341328
GCA_000463395	24341328
GCA_000463425	24341328
GCA_000463445	24341328
GCA_000479335	no pmid
GCA_000479335	no pmid
GCA_000696505	no pmid
GCA_000698885	24827399
GCA_000817065	no pmid
GCA_000971665	25999573
GCA_000993745	no pmid
GCA_001008015	26337884
GCA_001280285	no pmid
GCA_001514435	no pmid
GCA_001623565	27469933
GCA_001623565	27469933
GCA_001663795	no pmid
GCA_001685375	no pmid
GCA_001705585	no pmid
GCA_001708305	no pmid
GCA_001708305	no pmid
GCA_001855705	no pmid
GCA_001936415	29519820
GCA_002000985	no pmid
GCA_002012365	28450504
GCA_002094975	no pmid
GCA_002111405	20554247
GCA_002189695	no pmid
GCA_002285535	no pmid
GCA_002286255	no pmid
GCA_002356055	27895128
GCA_002443035	29122869
GCA_002688665	no pmid
GCA_002803825	no pmid
GCA_002831545	no pmid
GCA_002843115	29439051
GCA_002846075	no pmid
GCA_002846155	no pmid
GCA_002900385	29700142
GCA_002995555	no pmid
GCA_003144175	no pmid
GCA_003402855	30801058
GCA_003443395	30801058
GCA_003691695	no pmid
GCA_004114735	no pmid
GCA_004843685	no pmid
GCA_006228325	31501281
GCA_006739205	no pmid
GCA_008831325	no pmid
GCA_008831345	no pmid
GCA_008831365	no pmid
GCA_009676645	no pmid
GCA_009676685	no pmid
GCA_009676725	no pmid
GCA_009738555	no pmid
GCA_009755785	no pmid
GCA_009758075	no pmid
GCA_009792335	no pmid
GCA_009856565	no pmid
GCA_009930895	no pmid
GCA_010120595	no pmid
GCA_011316785	no pmid
GCA_011765485	32919986
GCA_011765505	32919986
GCA_011765525	32919986
GCA_011765545	32919986
GCA_011801285	32073719
GCA_013305725	no pmid
GCA_013307185	no pmid
GCA_013307265	no pmid
GCA_013307285	no pmid
GCA_013378355	no pmid
GCA_013488085	no pmid
GCA_013488125	no pmid
GCA_013488185	no pmid
GCA_013822985	33004456
GCA_014843095	33446586
GCA_014874555	no pmid
GCA_015190465	no pmid
GCA_015689355	34197198
GCA_015689375	34197198
GCA_015689395	no pmid
GCA_015689415	34197198
GCA_015689435	34197198
GCA_015689455	34197198
GCA_015767535	34197198
GCA_015838875	no pmid
GCA_015839035	no pmid
GCA_015839235	no pmid
GCA_015839415	no pmid
GCA_015839575	no pmid
GCA_015839775	no pmid
GCA_015839915	no pmid
GCA_015840115	no pmid
GCA_015908985	no pmid
GCA_016127735	no pmid
GCA_016127875	no pmid
GCA_016889885	no pmid
GCA_017359825	no pmid
GCA_017359885	no pmid
GCA_017360005	no pmid
GCA_017360085	no pmid
GCA_017360165	no pmid
GCA_017360245	no pmid
GCA_017360305	no pmid
GCA_017584245	no pmid
GCA_017639855	no pmid
GCA_017639855	no pmid
GCA_018140535	no pmid
GCA_018219175	33114373
GCA_019334565	no pmid
GCA_019645895	no pmid
GCA_019856355	37369704
GCA_019856375	37369704
GCA_019856395	37369704
GCA_019856415	37369704
GCA_019856435	37369704
GCA_019856475	37369704
GCA_019967855	no pmid
GCA_020542005	34748531
GCA_020542045	34748531
GCA_020844005	34669424
GCA_021029665	35019696
GCA_021029685	35019696
GCA_021654435	35175115
GCA_021654455	35175115
GCA_021654495	35175115
GCA_021654515	25385995
GCA_021654535	25385995
GCA_021729385	no pmid
GCA_021729405	no pmid
GCA_022024355	no pmid
GCA_023023005	no pmid
GCA_023207975	no pmid
GCA_023278025	no pmid
GCA_024334065	35924931
GCA_024346585	35500839
GCA_024399415	no pmid
GCA_024509515	39699589
GCA_024582755	no pmid
GCA_024582955	no pmid
GCA_024583095	no pmid
GCA_024583135	no pmid
GCA_024665315	no pmid
GCA_024731205	36057098
GCA_024762155	36159653
GCA_025152645	36656024
GCA_025152665	36656024
GCA_025201235	36656024
GCA_025739165	no pmid
GCA_025739325	no pmid
GCA_025739385	no pmid
GCA_025946905	no pmid
GCA_025946945	no pmid
GCA_025948295	no pmid
GCA_027557675	no pmid
GCA_028335765	no pmid
GCA_028463905	no pmid
GCA_028864795	33603831
GCA_029223665	no pmid
GCA_029223685	no pmid
GCA_029223705	no pmid
GCA_029223725	no pmid
GCA_029234045	36971562
GCA_029234065	36971562
GCA_029234115	36971562
GCA_029234135	36971562
GCA_029234175	36971562
GCA_029542025	no pmid
GCA_029542045	no pmid
GCA_029542065	no pmid
GCA_029542385	no pmid
GCA_029625275	no pmid
GCA_029625415	no pmid
GCA_029691405	no pmid
GCA_030034715	no pmid
GCA_030294905	no pmid
GCA_030480405	no pmid
GCA_030846755	no pmid
GCA_032163505	no pmid
GCA_032880625	no pmid
GCA_033037175	no pmid
GCA_033037495	no pmid
GCA_033096325	no pmid
GCA_033344055	no pmid
GCA_034047115	no pmid
GCA_034134805	no pmid
GCA_034134805	no pmid
GCA_035758325	no pmid
GCA_036320595	39086116
GCA_036923315	34587358
GCA_038049945	no pmid
GCA_038630745	no pmid
GCA_038650695	no pmid
