file_name	new addition	species	neighbour_count	rgg_gene_count
GCA_000006785	False	Streptococcus pyogenes M1 GAS, complete genome.	0	3
GCA_000006885	False	Streptococcus pneumoniae TIGR4, complete genome.	0	3
GCA_000007045	False	Streptococcus pneumoniae R6, complete genome.	0	7
GCA_000007265	False	Streptococcus agalactiae 2603V/R, complete genome.	0	2
GCA_000007285	False	Streptococcus pyogenes MGAS8232, complete genome.	0	3
GCA_000007425	False	Streptococcus pyogenes MGAS315, complete genome.	0	3
GCA_000007465	False	Streptococcus mutans UA159, complete genome.	1	2
GCA_000009545	False	Streptococcus uberis 0140J complete genome	0	0
GCA_000010705	False	Streptococcus dysgalactiae subsp. equisimilis GGS_124 DNA, complete genome.	0	3
GCA_000011285	False	Streptococcus pyogenes SSI-1 DNA, complete genome.	0	3
GCA_000011665	False	Streptococcus pyogenes MGAS10394, complete genome.	0	3
GCA_000011765	False	Streptococcus pyogenes MGAS5005, complete genome.	0	3
GCA_000011825	False	Streptococcus thermophilus LMG 18311, complete genome.	4	7
GCA_000011845	False	Streptococcus thermophilus CNRZ1066, complete genome.	4	7
GCA_000012165	False	Streptococcus pyogenes MGAS6180 chromosome, complete genome.	0	3
GCA_000012705	False	Streptococcus agalactiae A909, complete genome.	0	2
GCA_000013485	False	Streptococcus pyogenes MGAS9429, complete genome.	0	3
GCA_000013505	False	Streptococcus pyogenes MGAS10270, complete genome.	0	4
GCA_000013525	False	Streptococcus pyogenes MGAS2096, complete genome.	0	3
GCA_000013545	False	Streptococcus pyogenes MGAS10750, complete genome.	0	3
GCA_000014205	False	Streptococcus sanguinis SK36, complete genome.	0	4
GCA_000014305	False	Streptococcus suis 05ZYH33, complete genome.	1	2
GCA_000014325	False	Streptococcus suis 98HAH33, complete genome.	1	1
GCA_000014365	False	Streptococcus pneumoniae D39, complete genome.	0	7
GCA_000014485	False	Streptococcus thermophilus LMD-9, complete genome.	3	5
GCA_000017005	False	Streptococcus gordonii str. Challis substr. CH1, complete genome.	0	4
GCA_000018125	False	Streptococcus pyogenes NZ131, complete genome.	0	3
GCA_000018185	False	Streptococcus suis GZ1, complete genome.	1	1
GCA_000018965	False	Streptococcus pneumoniae 70585, complete genome.	0	4
GCA_000018985	False	Streptococcus pneumoniae JJA, complete genome.	0	7
GCA_000019005	False	Streptococcus pneumoniae P1031, complete genome.	0	3
GCA_000019025	False	Streptococcus pneumoniae Taiwan19F-14, complete genome.	0	5
GCA_000019265	False	Streptococcus pneumoniae Hungary19A-6, complete genome.	0	5
GCA_000019825	False	Streptococcus pneumoniae G54, complete genome.	0	6
GCA_000019985	False	Streptococcus pneumoniae CGSP14, complete genome.	0	7
GCA_000020765	False	Streptococcus equi subsp. zooepidemicus MGCS10565, complete genome.	1	6
GCA_000026585	False	Streptococcus equi subsp. equi 4047, complete genome	0	6
GCA_000026605	False	Streptococcus equi subsp. zooepidemicus H70, complete genome	3	6
GCA_000026665	False	Streptococcus pneumoniae ATCC 700669 complete genome	0	5
GCA_000026725	False	Streptococcus suis SC84 complete genome, strain SC84	1	1
GCA_000026745	False	Streptococcus suis BM407 complet genome, strain BM407	1	1
GCA_000027165	False	Streptococcus mitis B6 complete genome, strain B6	0	7
GCA_000027185	False	Streptococcus gallolyticus UCN34 complete genome	0	8
GCA_000091645	False	Streptococcus mutans NN2025 DNA, complete genome.	1	2
GCA_000091905	False	Streptococcus suis P1/7 complete genome	1	1
